Flight Index,Delay (seconds)
KY3205,0
CZ3919,0
CA1361,0
CZ3267,0
BK3231,0
CZ2886,0
9C6173,0
9C8845,0
SC4943,0
JD5307,0
GS6533,11467
SC4786,0
MF8771,1319
PN6449,0
3U3112,0
MU5633,0
CZ3481,4993
MU6626,0
QW9779,0
JD5585,7142
MU6526,0
CA1637,0
9H8311,0
MU2239,0
DZ6211,0
8L9845,0
3U8213,0
GJ8811,0
EU2741,0
3U3117,0
SC4703,0
BS326,0
JD5563,0
3U3185,0
9C6923,0
8L9971,0
HO1123,0
MU6589,0
HU7054,0
CZ628Y,0
CA4201,0
EU1947,0
DZ6247,0
ZH9955,0
EU2211,0
CA826X,17456
CZ5614,0
MU6443,0
ZH9285,0
HU7561,0
MF8523,0
G52767,0
SC8825,11868
MU6823,0
JD5843,0
SC2249,0
CA1441,0
MF8088,0
GJ8925,0
QW9881,0
ZH9637,0
SC7631,0
QW9789,0
CA4363,0
MU7312,0
MU9877,0
CA4352,0
TV9907,0
MF8403,14771
G54675,0
9C8695,0
9C8831,0
9C8613,0
MM80,10650
A67151,0
9C8909,0
HU7249,0
G54701,0
CA9643,0
KN5885,0
CA2801,0
HU7614,6260
DR653W,13317
SC4754,0
3U8967,0
MU2712,0
PN6531,0
ZH9349,0
3U3651,0
3U8229,7261
GJ8123,0
9H6031,0
CA4551,0
SC4781,0
DZ6229,0
FM9460,0
GX8807,0
MU6018,0
GY7105,0
3U8423,0
DZ6336,0
AQ1041,0
GJ8659,0
ZH9966,0
SC4788,0
GJ8993,0
PN6253,0
CA4010,0
MU6611,0
9C6927,0
3U8645,0
CA4013,0
ZH8247,0
ZH9805,0
MF8070,0
MU6117,0
JD5235,0
SC4691,0
HU7870,0
TV9819,1491
3U8283,0
G54351,0
CZ5821,0
DZ6213,16085
9C6256,401
TV9803,0
3U8927,0
MU5361,0
JD5143,0
9C8957,15654
CZ8249,2141
CZ6443,0
MU2335,1756
HU7751,0
CA1879,0
9C8930,0
GJ8583,8132
HO1933,13637
AQ1055,0
MU2177,0
HU7021,0
9C6551,0
FM9241,0
HO1854,0
CZ3639,0
HU7003,0
FM9409,0
JD5111,0
3U8271,0
9C7727,0
CZ3957,0
UQ2616,0
ZH9216,0
GX8929,0
AK126,0
9C6731,0
MU2235,87
MU6789,0
HO1945,0
GS7651,0
GJ6029,9440
9C8779,0
CZ6210,0
ZH9965,0
FM9539,0
MU5459,0
A67271,0
MU5670,0
8L9561,0
CZ5876,0
ZH9137,0
MF833S,0
GJ8225,0
GJ8821,0
QW6131,0
HU6137,5436
JD5691,0
ZH8967,0
CZ2303,0
GJ8860,0
ZH9685,0
TV6053,0
KY3213,0
CA1787,0
G52827,0
MU5375,0
DZ6281,0
